  loop_time,  pos_steps,    pos_rev,     pos_mm,  dis_steps,     dis_mm,    dis_rev,spd_us/step, spd_step/s,  spd_rev/s,   spd_mm/s,  direction, event_code
      1.366,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,   1000.000,   1000.000,      1.250,      5.000,          1,          0
      2.590,   -176.000,      0.000,      0.000, 239824.000,   1199.000,    299.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      3.755,  -1311.000,     -1.000,     -6.000, 238689.000,   1193.000,    298.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      4.939,  -2465.000,     -3.000,    -12.000, 237535.000,   1187.000,    296.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      6.114,  -3612.000,     -4.000,    -18.000, 236388.000,   1181.000,    295.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      7.258,  -4728.000,     -5.000,    -23.000, 235272.000,   1176.000,    294.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      8.423,  -5865.000,     -7.000,    -29.000, 234135.000,   1170.000,    292.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
      9.507,  -6923.000,     -8.000,    -34.000, 233077.000,   1165.000,    291.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     10.612,  -8001.000,    -10.000,    -40.000, 231999.000,   1159.000,    289.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     11.646,  -9011.000,    -11.000,    -45.000, 230989.000,   1154.000,    288.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     12.670, -10009.000,    -12.000,    -50.000, 229991.000,   1149.000,    287.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     13.714, -11026.000,    -13.000,    -55.000, 228974.000,   1144.000,    286.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     14.768, -12053.000,    -15.000,    -60.000, 227947.000,   1139.000,    284.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     15.972, -13226.000,    -16.000,    -66.000, 226774.000,   1133.000,    283.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     17.067, -14293.000,    -17.000,    -71.000, 225707.000,   1128.000,    282.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     18.101, -15302.000,    -19.000,    -76.000, 224698.000,   1123.000,    280.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     19.145, -16322.000,    -20.000,    -81.000, 223678.000,   1118.000,    279.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     20.179, -17331.000,    -21.000,    -86.000, 222669.000,   1113.000,    278.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     21.223, -18350.000,    -22.000,    -91.000, 221650.000,   1108.000,    277.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     22.368, -19467.000,    -24.000,    -97.000, 220533.000,   1102.000,    275.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     23.382, -20455.000,    -25.000,   -102.000, 219545.000,   1097.000,    274.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     24.526, -21570.000,    -26.000,   -107.000, 218430.000,   1092.000,    273.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     25.530, -22547.000,    -28.000,   -112.000, 217453.000,   1087.000,    271.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     26.805, -23790.000,    -29.000,   -118.000, 216210.000,   1081.000,    270.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     27.859, -24817.000,    -31.000,   -124.000, 215183.000,   1075.000,    268.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     28.893, -25825.000,    -32.000,   -129.000, 214175.000,   1070.000,    267.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     29.947, -26853.000,    -33.000,   -134.000, 213147.000,   1065.000,    266.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
     31.021, -27899.000,    -34.000,   -139.000, 212101.000,   1060.000,    265.000,   1000.000,   1000.000,      1.250,      5.000,         -1,          4
