    loop_time,loop_time_min,    pos_steps,      pos_rev,       pos_mm,    dis_steps,       dis_mm,      dis_rev,  spd_us/step,   spd_step/s,    spd_rev/s,     spd_mm/s,    direction,   event_code, rep_rate_kHz,    energy_nJ,    energy_uJ,   epoch_time
        3.544,        0.059,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,     -999.000,     -999.000,     -999.000,     -999.000
        4.448,        0.074,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987666.694
        4.628,        0.077,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987666.867
        5.451,        0.091,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987667.694
        5.642,        0.094,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987667.880
        6.606,        0.110,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987668.847
        6.786,        0.113,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987669.023
        7.710,        0.129,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987669.951
        7.840,        0.131,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987670.084
        8.774,        0.146,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987671.013
        8.935,        0.149,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987671.172
        9.838,        0.164,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987672.074
        9.999,        0.167,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987672.236
       10.933,        0.182,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987673.171
       11.094,        0.185,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987673.330
       11.967,        0.199,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987674.198
       12.107,        0.202,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987674.345
       13.061,        0.218,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987675.295
       13.212,        0.220,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987675.447
       14.105,        0.235,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987676.337
       14.256,        0.238,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987676.489
       15.159,        0.253,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987677.386
       15.310,        0.255,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987677.540
       16.163,        0.269,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987678.399
       16.324,        0.272,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987678.559
       17.248,        0.287,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987679.475
       17.398,        0.290,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987679.629
       18.292,        0.305,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987680.520
       18.452,        0.308,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987680.682
       19.366,        0.323,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987681.593
       19.506,        0.325,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987681.736
       20.410,        0.340,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987682.640
       20.550,        0.343,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987682.775
       21.454,        0.358,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987683.683
       21.604,        0.360,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987683.827
       22.568,        0.376,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987684.795
       22.719,        0.379,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987684.938
       23.612,        0.394,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987685.838
       23.803,        0.397,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987686.021
       24.777,        0.413,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987687.004
       24.958,        0.416,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987687.183
       25.891,        0.432,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987688.108
       26.052,        0.434,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987688.275
       26.945,        0.449,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987689.160
       27.106,        0.452,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987689.330
       28.090,        0.468,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987690.311
       28.260,        0.471,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987690.479
       29.194,        0.487,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987691.413
       29.344,        0.489,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987691.562
       30.318,        0.505,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987692.531
       30.469,        0.508,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0,       50.000,     -178.000,       -0.178,1617987692.686
