log_epoch_time	loop_time	pos_steps	pos_rev	pos_mm	dis_steps	dis_rev	dis_mm	spd_us/step	spd_step/s	spd_rev/s	spd_mm/s	direction	event_code	rep_rate_kHz	energy_nJ	energy_uJ	epoch_time
1636535747.61	1.43	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535748.74	2.54	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535749.75	3.56	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535750.86	4.66	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535751.87	5.68	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535752.87	6.68	0	0.00	0.00	0	0.00	0.00	1000	1000.00	0.20	0.03	1	0	-999.00	-999.00	-999.00	-999.00
1636535753.98	7.78	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535755.07	8.86	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535756.18	9.97	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535757.29	11.08	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535758.39	12.18	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535759.50	13.29	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535760.51	14.30	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535761.61	15.39	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535762.69	16.47	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535763.80	17.58	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535764.90	18.68	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535766.00	19.79	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535767.01	20.78	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535768.14	21.91	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535769.24	23.01	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535770.34	24.11	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535771.45	25.22	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535772.56	26.32	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535773.66	27.42	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
1636535774.75	28.51	0	0.00	0.00	0	0.00	0.00	284	3521.13	0.70	0.10	1	0	-999.00	-999.00	-999.00	-999.00
